agree,agree_ratio,agreeance_text,allsides_page,bias,disagree,name,total_votes
21052,1.680530055,Agrees,https://www.allsides.com/news-source/abc-news-media-bias,left-center,12527,ABC News,33579
80,2.857142857,Strongly Agrees,https://www.allsides.com/news-source/above-law-media-bias,left-center,28,Above The Law,108
223,1.581560284,Agrees,https://www.allsides.com/news-source/abridge-news-media-bias,allsides,141,Abridge News,364
263,2.481132075,Strongly Agrees,https://www.allsides.com/news-source/aj-media-bias,left,106,AJ+,369
4217,0.631381943,Disagrees,https://www.allsides.com/news-source/al-jazeera-media-bias,left-center,6679,Al Jazeera,10896
3686,2.482154882,Strongly Agrees,https://www.allsides.com/news-source/allsides,allsides,1485,AllSides,5171
2368,1.684210526,Agrees,https://www.allsides.com/news-source/allsides-community,allsides,1406,AllSides Community,3774
6834,4.775681342,Absolutely Agrees,https://www.allsides.com/news-source/alternet-media-bias,left,1431,AlterNet,8265
247,2.572916667,Strongly Agrees,https://www.allsides.com/news-source/american-greatness-media-bias,right,96,American Greatness,343
1610,1.790878754,Agrees,https://www.allsides.com/news-source/american-thinker,right,899,American Thinker,2509
92,0.676470588,Somewhat Disagrees,https://www.allsides.com/news-source/ap-fact-check-media-bias,left-center,136,AP Fact Check,228
895,1.561954625,Agrees,https://www.allsides.com/news-source/aquinas-college-saint,left,573,Aquinas College Saint,1468
948,1.314840499,Somewhat Agrees,https://www.allsides.com/news-source/arkansas-democrat-gazette,left,721,Arkansas Democrat-Gazette,1669
13940,1.383897548,Somewhat Agrees,https://www.allsides.com/news-source/associated-press-media-bias,center,10073,Associated Press - apnews,24013
2,2,Agrees,https://www.allsides.com/news-source/atlanta-black-star-media-bias,left-center,1,Atlanta Black Star,3
921,1.106971154,Somewhat Agrees,https://www.allsides.com/news-source/atlanta-journal-constitution,left-center,832,Atlanta Journal-Constitution,1753
788,1.2608,Somewhat Agrees,https://www.allsides.com/news-source/austin-american-statesman,left-center,625,Austin American-Statesman,1413
1875,0.85733882,Somewhat Disagrees,https://www.allsides.com/news-source/axios,center,2187,Axios,4062
120,0.677966102,Somewhat Disagrees,https://www.allsides.com/news-source/az-central-media-bias,center,177,AZ Central,297
96,3.428571429,Absolutely Agrees,https://www.allsides.com/news-source/babylon-bee-media-bias,right-center,28,Babylon Bee,124
525,0.862068966,Somewhat Disagrees,https://www.allsides.com/news-source/barnstable-patriot,center,609,Barnstable Patriot,1134
17356,1.081303346,Somewhat Agrees,https://www.allsides.com/news-source/bbc-news-media-bias,center,16051,BBC News,33407
629,1.149908592,Somewhat Agrees,https://www.allsides.com/news-source/bearing-drift,right,547,Bearing Drift,1176
131,0.803680982,Somewhat Disagrees,https://www.allsides.com/news-source/bet-media-bias,left-center,163,BET,294
3,0.75,Somewhat Disagrees,https://www.allsides.com/news-source/black-enterprise-media-bias,left-center,4,Black Enterprise,7
9542,0.659843718,Disagrees,https://www.allsides.com/news-source/bloomberg-media-bias,center,14461,Bloomberg,24003
748,1.36996337,Somewhat Agrees,https://www.allsides.com/news-source/blue-virginia,left,546,Blue Virginia,1294
870,1.537102473,Agrees,https://www.allsides.com/news-source/boing-boing,left,566,Boing Boing,1436
2,1,Neutral,https://www.allsides.com/news-source/book-club-chicago-media-bias,left,2,Book Club Chicago,4
422,1.175487465,Somewhat Agrees,https://www.allsides.com/news-source/boston-herald-media-bias,right-center,359,Boston Herald,781
243,1.047413793,Somewhat Agrees,https://www.allsides.com/news-source/boston-herald-editorial-media-bias,right-center,232,Boston Herald Editorial,475
14,0.875,Somewhat Disagrees,https://www.allsides.com/news-source/boston-review-media-bias,left-center,16,Boston Review,30
590,0.933544304,Somewhat Disagrees,https://www.allsides.com/news-source/bowling-green-daily-news,left-center,632,Bowling Green Daily News,1222
86,1.264705882,Somewhat Agrees,https://www.allsides.com/news-source/braver-angels-media-bias,allsides,68,Braver Angels,154
24980,2.733041575,Strongly Agrees,https://www.allsides.com/news-source/breitbart,right,9140,Breitbart News,34120
90,1.25,Somewhat Agrees,https://www.allsides.com/news-source/bridgemicom-media-bias,center,72,Bridgemi.com,162
33,3.666666667,Absolutely Agrees,https://www.allsides.com/news-source/brown-girl-magazine-media-bias,left,9,Brown Girl Magazine,42
2478,0.760355937,Somewhat Disagrees,https://www.allsides.com/news-source/business-insider,center,3259,Business Insider,5737
802,1.011349306,Somewhat Agrees,https://www.allsides.com/news-source/bustle,left-center,793,Bustle,1595
12672,1.656037637,Agrees,https://www.allsides.com/news-source/buzzfeed-media-bias,left,7652,BuzzFeed News,20324
3181,3.1937751,Absolutely Agrees,https://www.allsides.com/news-source/c-span,center,996,C-SPAN,4177
686,1.186851211,Somewhat Agrees,https://www.allsides.com/news-source/calmatters,center,578,CalMatters,1264
541,0.939236111,Somewhat Disagrees,https://www.allsides.com/news-source/calwatchdog,center,576,CalWatchdog,1117
595,0.934065934,Somewhat Disagrees,https://www.allsides.com/news-source/care-2,left,637,Care2,1232
6584,1.915066899,Agrees,https://www.allsides.com/news-source/cbn,right,3438,CBN,10022
10980,1.373530148,Somewhat Agrees,https://www.allsides.com/news-source/cbs-news-media-bias,left-center,7994,CBS News,18974
649,1.144620811,Somewhat Agrees,https://www.allsides.com/news-source/center-major-media-sources,center,567,Center Major Media Sources,1216
677,0.871299871,Somewhat Disagrees,https://www.allsides.com/news-source/center-public-integrity,left-center,777,Center for Public Integrity,1454
568,0.891679749,Somewhat Disagrees,https://www.allsides.com/news-source/centre-view,left-center,637,Centre View,1205
76,0.817204301,Somewhat Disagrees,https://www.allsides.com/news-source/check-your-fact-media-bias,right-center,93,Check Your Fact,169
3,3,Strongly Agrees,https://www.allsides.com/news-source/chicago-crusader-media-bias,left,1,Chicago Crusader,3
30,3,Strongly Agrees,https://www.allsides.com/news-source/chicago-defender-media-bias,left,10,Chicago Defender,40
769,0.992258065,Somewhat Disagrees,https://www.allsides.com/news-source/chicago-sun-times,left-center,775,Chicago Sun-Times,1544
1931,0.556644566,Disagrees,https://www.allsides.com/news-source/chicago-tribune,center,3469,Chicago Tribune,5400
11532,0.786683948,Somewhat Disagrees,https://www.allsides.com/news-source/christian-science-monitor,center,14659,Christian Science Monitor,26191
103,0.677631579,Somewhat Disagrees,https://www.allsides.com/news-source/christianity-today-media-bias,right-center,152,Christianity Today,255
362,1.202657807,Somewhat Agrees,https://www.allsides.com/news-source/city-journal-media-bias,right,301,City Journal,663
2075,0.425466475,Strongly Disagrees,https://www.allsides.com/news-source/cnbc,center,4877,CNBC,6952
322,1.210526316,Somewhat Agrees,https://www.allsides.com/news-source/cnet,center,266,CNET,588
34299,0.93733603,Somewhat Disagrees,https://www.allsides.com/news-source/cnn-media-bias,left-center,36592,CNN,70891
16391,3.924108212,Absolutely Agrees,https://www.allsides.com/news-source/cnn-editorial,left,4177,CNN - Editorial,20568
877,1.203017833,Somewhat Agrees,https://www.allsides.com/news-source/cnsnewscom,right,729,CNSNews,1606
199,0.565340909,Disagrees,https://www.allsides.com/news-source/columbia-journalism-review,center,352,Columbia Journalism Review,551
218,0.956140351,Somewhat Disagrees,https://www.allsides.com/news-source/commentary-magazine-media-bias,right,228,Commentary Magazine,446
28,0.777777778,Somewhat Disagrees,https://www.allsides.com/news-source/concord-monitor,center,36,Concord Monitor,64
853,2.14861461,Strongly Agrees,https://www.allsides.com/news-source/conservative-hq,right,397,Conservative HQ,1250
892,1.554006969,Agrees,https://www.allsides.com/news-source/cook-report,center,574,Cook Report,1466
363,1.406976744,Somewhat Agrees,https://www.allsides.com/news-source/counter-currents,left-center,258,Counter Currents,621
387,1.090140845,Somewhat Agrees,https://www.allsides.com/news-source/counterpointing,allsides,355,Counterpointing,742
415,0.949656751,Somewhat Disagrees,https://www.allsides.com/news-source/crowdpac,center,437,CrowdPAC,852
365,0.83908046,Somewhat Disagrees,https://www.allsides.com/news-source/cu-independent,center,435,CU Independent,800
363,2.26875,Strongly Agrees,https://www.allsides.com/news-source/current-affairs-media-bias,left,160,Current Affairs,523
11878,2.400565885,Strongly Agrees,https://www.allsides.com/news-source/daily-beast-media-bias,left,4948,Daily Beast,16826
423,0.921568627,Somewhat Disagrees,https://www.allsides.com/news-source/daily-cardinal,center,459,Daily Cardinal,882
5,1,Neutral,https://www.allsides.com/news-source/daily-chela-media-bias,left,5,Daily Chela,10
5491,2.703594289,Strongly Agrees,https://www.allsides.com/news-source/daily-kos,left,2031,Daily Kos,7522
5461,1.573775216,Agrees,https://www.allsides.com/news-source/daily-mail,right,3470,Daily Mail,8931
384,0.943488943,Somewhat Disagrees,https://www.allsides.com/news-source/daily-northwestern,left-center,407,Daily Northwestern,791
373,0.800429185,Somewhat Disagrees,https://www.allsides.com/news-source/daily-press,right-center,466,Daily Press,839
425,0.988372093,Somewhat Disagrees,https://www.allsides.com/news-source/daily-progress,center,430,Daily Progress,855
273,0.679104478,Somewhat Disagrees,https://www.allsides.com/news-source/daily-targum,left-center,402,Daily Targum,675
264,1.10460251,Somewhat Agrees,https://www.allsides.com/news-source/defense-one-media-bias,center,239,Defense One,503
8291,3.662102473,Absolutely Agrees,https://www.allsides.com/news-source/democracy-now,left,2264,Democracy Now,10555
109,0.767605634,Somewhat Disagrees,https://www.allsides.com/news-source/desmoines-register,center,142,Des Moines Register,251
1142,0.641212802,Disagrees,https://www.allsides.com/news-source/deseret-news,right-center,1781,Deseret News,2923
177,0.797297297,Somewhat Disagrees,https://www.allsides.com/news-source/detroit-free-press,left-center,222,Detroit Free Press,399
103,0.673202614,Somewhat Disagrees,https://www.allsides.com/news-source/detroit-news,center,153,Detroit News,256
363,1.24742268,Somewhat Agrees,https://www.allsides.com/news-source/diplomatic-courier,center,291,Diplomatic Courier,654
2121,1.382659713,Somewhat Agrees,https://www.allsides.com/news-source/drudge-report,right-center,1534,Drudge Report,3655
402,0.985294118,Somewhat Disagrees,https://www.allsides.com/news-source/duke-chronicle,center,408,Duke Chronicle,810
9,1.5,Somewhat Agrees,https://www.allsides.com/news-source/erraticus-media-bias,center,6,Erraticus,15
1024,1.896296296,Agrees,https://www.allsides.com/news-source/esquire,left,540,Esquire,1564
268,0.754929577,Somewhat Disagrees,https://www.allsides.com/news-source/estes-park-trail-gazette,center,355,Estes Park Trail Gazette,623
346,0.884910486,Somewhat Disagrees,https://www.allsides.com/news-source/eurek-alert,center,391,Eurek Alert,737
798,1.154848046,Somewhat Agrees,https://www.allsides.com/news-source/fact-checker-blog,center,691,Fact Checker Blog,1489
6479,1.259770562,Somewhat Agrees,https://www.allsides.com/news-source/factcheckorg-media-bias,center,5143,FactCheck.org,11622
531,1.001886792,Somewhat Agrees,https://www.allsides.com/news-source/fair-media-bias,left-center,530,FAIR,1061
416,0.886993603,Somewhat Disagrees,https://www.allsides.com/news-source/falls-church-news-press,left,469,Falls Church News - Press,885
607,1.5175,Agrees,https://www.allsides.com/news-source/financial-times-media-bias,center,400,Financial Times,1007
713,1.163132137,Somewhat Agrees,https://www.allsides.com/news-source/fiscal-times,right-center,613,Fiscal Times,1326
3724,1.579304495,Agrees,https://www.allsides.com/news-source/fivethirtyeight-0,center,2358,FiveThirtyEight,6082
7487,1.804096386,Agrees,https://www.allsides.com/news-source/forbes,center,4150,Forbes,11637
955,1.826003824,Agrees,https://www.allsides.com/news-source/foreign-affairs,center,523,Foreign Affairs,1478
141,1.014388489,Somewhat Agrees,https://www.allsides.com/news-source/foreign-policy-media-bias,center,139,Foreign Policy,280
28971,0.777619712,Somewhat Disagrees,https://www.allsides.com/news-source/fox-news-media-bias,right-center,37256,Fox News,66227
2058,1.986486486,Agrees,https://www.allsides.com/news-source/fox-news-latino,right,1036,Fox News Latino,3094
13906,4.420216147,Absolutely Agrees,https://www.allsides.com/news-source/fox-news-editorial-media-bias,right,3146,Fox News Opinion,17052
559,1.334128878,Somewhat Agrees,https://www.allsides.com/news-source/frontpage-magazine,right,419,FrontPage Magazine,978
133,1.090163934,Somewhat Agrees,https://www.allsides.com/news-source/gizmodo,left-center,122,Gizmodo,255
10,0.23255814,Absolutely Disagrees,https://www.allsides.com/news-source/glaad-media-bias,left-center,43,GLAAD,53
475,1.349431818,Somewhat Agrees,https://www.allsides.com/news-source/google-news-media-bias,left-center,352,Google News,827
84,0.717948718,Somewhat Disagrees,https://www.allsides.com/news-source/gqcom-media-bias,left-center,117,GQ,201
484,0.918406072,Somewhat Disagrees,https://www.allsides.com/news-source/grist,left-center,527,Grist,1011
394,0.972839506,Somewhat Disagrees,https://www.allsides.com/news-source/hampton-roads-messanger,center,405,Hampton Roads Messanger,799
717,0.84056272,Somewhat Disagrees,https://www.allsides.com/news-source/harvard-business-school,left-center,853,Harvard Business School,1570
67,1.240740741,Somewhat Agrees,https://www.allsides.com/news-source/heavycom-media-bias,center,54,Heavy,121
474,1.224806202,Somewhat Agrees,https://www.allsides.com/news-source/herald-democrat-0,left,387,Herald Democrat,861
0,0,Absolutely Disagrees,https://www.allsides.com/news-source/hip-latina-media-bias,left,1,Hip Latina,0
349,0.727083333,Somewhat Disagrees,https://www.allsides.com/news-source/honolulu-civil-beat,center,480,Honolulu Civil Beat,829
1023,1.111956522,Somewhat Agrees,https://www.allsides.com/news-source/hotair,right-center,920,HotAir,1943
63,0.940298507,Somewhat Disagrees,https://www.allsides.com/news-source/houston-chronicle-media-bias,center,67,Houston Chronicle,130
637,1.042553191,Somewhat Agrees,https://www.allsides.com/news-source/how-do-we-fix-it,center,611,How Do We Fix It?,1248
122,1.207920792,Somewhat Agrees,https://www.allsides.com/news-source/howard-kurtz-media-bias,center,101,Howard Kurtz,223
26313,1.263226116,Somewhat Agrees,https://www.allsides.com/news-source/huffpost-media-bias,left,20830,HuffPost,47143
72,0.9,Somewhat Disagrees,https://www.allsides.com/news-source/idaho-statesman-media-bias,center,80,Idaho Statesman,152
392,1.351724138,Somewhat Agrees,https://www.allsides.com/news-source/inacow,right,290,Inacow,682
1230,1.083700441,Somewhat Agrees,https://www.allsides.com/news-source/independent-journal-review,right-center,1135,Independent Journal Review,2365
293,0.787634409,Somewhat Disagrees,https://www.allsides.com/news-source/indiana-daily-student,center,372,Indiana Daily Student,665
295,0.92476489,Somewhat Disagrees,https://www.allsides.com/news-source/indy-online,center,319,Indy Online,614
314,0.902298851,Somewhat Disagrees,https://www.allsides.com/news-source/indy-week,left-center,348,Indy Week,662
4563,4.417231365,Absolutely Agrees,https://www.allsides.com/news-source/infowars,right,1033,InfoWars,5596
310,0.898550725,Somewhat Disagrees,https://www.allsides.com/news-source/inside-philanthropy,center,345,Inside Philanthropy,655
367,0.90617284,Somewhat Disagrees,https://www.allsides.com/news-source/intellectual-conservative,right-center,405,Intellectual Conservative,772
1031,1.300126103,Somewhat Agrees,https://www.allsides.com/news-source/international-business-times,center,793,International Business Times,1824
1184,1.255567338,Somewhat Agrees,https://www.allsides.com/news-source/investors-business-daily,right-center,943,Investor's Business Daily,2127
451,1.004454343,Somewhat Agrees,https://www.allsides.com/news-source/ivn,center,449,IVN,900
671,3.834285714,Absolutely Agrees,https://www.allsides.com/news-source/jacobin-media-bias,left,175,Jacobin,846
210,2.625,Strongly Agrees,https://www.allsides.com/news-source/jezebel-media-bias,left,80,Jezebel,290
275,0.873015873,Somewhat Disagrees,https://www.allsides.com/news-source/journalists-resource,center,315,Journalist's Resource,590
0,0,Absolutely Disagrees,https://www.allsides.com/news-source/jstor-daily-media-bias,center,1,JSTOR Daily,0
198,1.025906736,Somewhat Agrees,https://www.allsides.com/news-source/jubilee-media-bias,center,193,Jubilee Media,391
1175,0.930324624,Somewhat Disagrees,https://www.allsides.com/news-source/judicial-watch,right-center,1263,Judicial Watch,2438
8,0.888888889,Somewhat Disagrees,https://www.allsides.com/news-source/kalworg-media-bias,center,9,KALW,17
68,0.819277108,Somewhat Disagrees,https://www.allsides.com/news-source/katu-media-bias,center,83,KATU,151
514,1.162895928,Somewhat Agrees,https://www.allsides.com/news-source/kqed,center,442,KQED,956
904,1.259052925,Somewhat Agrees,https://www.allsides.com/news-source/ksl,right,718,KSL,1622
313,1.003205128,Somewhat Agrees,https://www.allsides.com/news-source/las-vegas-sun,left-center,312,Las Vegas Sun,625
1,0.5,Strongly Disagrees,https://www.allsides.com/news-source/latino-rebels-media-bias,left,2,Latino Rebels,3
241,1.100456621,Somewhat Agrees,https://www.allsides.com/news-source/leesburg-today,right-center,219,Leesburg Today,460
579,1.269736842,Somewhat Agrees,https://www.allsides.com/news-source/left-major-publications,left,456,Left - Major Media Sources,1035
